chr	pos	NO_20-S1	NO_20-S3	NO_20-S4	NO_20-S2	OC_OC-S1	OC_OC-S2	OC_OC-S3	OC_OC-S5
KN805644.1	479574	0.51	0.25	0.27	0.00	0.50	0.51	0.86	0.00
KN805644.1	501107	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00
KN805644.1	501129	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805644.1	501278	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805644.1	501281	0.00	0.01	0.53	0.00	0.00	0.00	0.01	0.00
KN805644.1	501308	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805644.1	548521	0.02	0.02	0.05	0.00	0.00	0.00	0.00	0.01
KN805645.1	23349	0.82	0.92	0.80	1.00	0.91	1.00	0.92	1.00
KN805645.1	23356	1.00	0.87	0.78	0.00	1.00	1.00	0.95	0.99
KN805645.1	23357	0.98	0.95	0.00	1.00	1.00	1.00	1.00	1.00
KN805645.1	23369	1.00	1.00	1.00	1.00	0.99	0.74	0.95	1.00
KN805645.1	23370	0.79	0.73	1.00	0.00	1.00	1.00	1.00	1.00
KN805645.1	23383	0.76	0.87	0.78	1.00	0.99	0.77	0.87	1.00
KN805645.1	23384	0.76	0.60	1.00	1.00	1.00	1.00	0.97	1.00
KN805645.1	23387	0.85	1.00	1.00	1.00	1.00	0.78	0.91	1.00
KN805645.1	23388	1.00	0.82	1.00	1.00	1.00	1.00	1.00	1.00
KN805645.1	23396	0.99	0.78	0.98	1.00	1.00	0.89	0.66	1.00
KN805645.1	23518	0.07	0.10	0.13	0.00	0.12	0.16	0.08	0.52
KN805645.1	209795	0.00	0.11	0.00	0.00	0.10	0.11	0.00	0.00
KN805645.1	209806	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805645.1	210040	0.00	0.19	0.00	0.00	0.00	0.00	0.09	0.00
KN805645.1	210106	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805645.1	210107	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805645.1	210113	0.10	0.00	0.00	0.00	0.02	0.00	0.02	0.00
KN805645.1	210114	0.09	0.09	0.08	0.00	0.00	0.00	0.03	0.00
KN805645.1	242881	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805645.1	242884	0.00	0.00	0.00	0.01	0.01	0.00	0.00	0.00
KN805645.1	242886	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805645.1	242893	0.00	0.18	0.00	0.00	0.00	0.00	0.01	0.00
KN805645.1	242897	0.19	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805645.1	242911	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805645.1	242928	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00
KN805645.1	245289	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.07
KN805645.1	336947	0.00	0.00	0.10	0.00	0.00	0.03	0.00	0.00
KN805645.1	336962	0.04	0.11	0.00	0.00	0.30	0.00	0.00	0.00
KN805645.1	336999	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00
KN805645.1	337470	0.03	0.00	0.00	0.00	0.01	0.00	0.00	0.00
KN805645.1	337497	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805645.1	337500	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.00
KN805645.1	337535	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805645.1	337620	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805645.1	337629	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00
KN805645.1	337631	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00
KN805645.1	337676	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00
KN805645.1	337693	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805645.1	442125	0.52	0.02	0.04	0.00	0.49	0.02	0.03	0.00
KN805645.1	524742	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805645.1	524747	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805645.1	524752	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.00
KN805645.1	524762	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805645.1	524805	0.00	0.00	0.00	0.00	0.00	0.00	0.15	0.00
KN805645.1	525175	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805646.1	75867	0.92	0.81	0.84	0.00	0.95	0.64	1.00	0.85
KN805646.1	107890	0.90	0.60	0.28	1.00	0.34	0.92	0.71	0.68
KN805646.1	107902	0.84	0.60	0.24	1.00	0.34	0.52	0.73	0.61
KN805646.1	107907	0.86	0.31	0.66	1.00	0.12	0.52	0.73	0.61
KN805646.1	107919	0.86	0.07	0.65	0.50	0.34	0.52	0.88	0.00
KN805646.1	132163	0.83	0.96	0.63	0.00	0.68	0.92	0.66	0.51
KN805646.1	176792	0.00	0.00	0.23	0.00	0.07	0.21	0.00	0.00
KN805646.1	176833	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00
KN805646.1	344578	0.00	0.00	0.05	0.00	0.24	0.00	0.00	0.00
KN805646.1	344618	0.18	0.48	0.08	0.00	0.20	0.30	0.24	0.00
KN805646.1	344664	0.12	0.94	0.02	0.74	0.12	0.30	0.00	0.03
KN805646.1	383969	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00
KN805646.1	383978	0.17	0.00	0.00	0.01	0.00	0.00	0.00	0.00
KN805647.1	134046	0.00	0.00	0.09	0.00	0.15	0.25	0.03	0.00
KN805647.1	134054	0.00	0.00	0.00	0.00	0.24	0.00	0.03	0.00
KN805647.1	329749	0.98	0.76	0.96	1.00	0.72	0.76	0.88	1.00
KN805647.1	329778	0.66	0.34	0.88	1.00	0.94	0.83	0.82	1.00
KN805648.1	57863	0.00	0.00	0.02	0.00	0.01	0.00	0.00	0.00
KN805648.1	57879	0.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805648.1	57881	0.14	0.00	0.00	0.00	0.00	0.00	0.05	0.99
KN805648.1	57889	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00
KN805648.1	57900	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00
KN805648.1	58051	0.08	0.16	0.00	0.00	0.00	0.00	0.00	0.00
KN805648.1	58053	0.00	0.16	0.00	0.00	0.00	0.00	0.00	0.00
KN805648.1	231780	0.98	0.76	0.96	1.00	0.72	0.76	0.88	1.00
KN805648.1	346418	0.00	0.02	0.00	0.00	0.13	0.00	0.08	0.00
KN805648.1	418161	0.83	0.88	0.91	1.00	0.57	0.97	0.95	1.00
KN805648.1	418193	0.84	0.65	0.80	0.92	0.93	0.96	0.70	1.00
KN805648.1	418195	0.82	0.76	0.86	1.00	0.53	0.85	0.63	0.00
KN805649.1	83941	0.99	0.87	0.89	0.00	0.90	0.63	0.84	1.00
KN805649.1	128218	0.26	0.23	0.45	0.00	0.11	0.97	0.16	0.00
KN805649.1	128229	0.23	0.23	0.35	0.00	0.11	0.00	0.17	0.00
KN805649.1	180816	0.56	0.00	0.61	0.00	0.03	0.12	0.45	0.00
KN805649.1	180833	0.36	0.00	0.87	0.00	0.33	0.12	0.28	0.00
KN805649.1	180852	0.94	0.00	0.27	0.00	0.67	0.42	0.24	0.00
KN805649.1	208541	0.00	0.00	0.01	0.00	0.01	0.00	0.00	0.00
KN805649.1	208571	0.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805649.1	208578	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00
KN805649.1	208998	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805649.1	209013	0.00	0.14	0.00	0.00	0.00	0.00	0.00	0.00
KN805649.1	209017	0.01	0.14	0.00	0.00	0.00	0.00	0.00	0.00
KN805649.1	209026	0.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805649.1	209029	0.00	0.00	0.00	0.00	0.00	0.46	0.00	0.00
KN805649.1	256440	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805649.1	270628	0.00	0.00	0.00	0.00	0.15	0.00	0.00	0.00
KN805649.1	270651	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805649.1	270676	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805649.1	270825	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.00
KN805649.1	270841	0.00	0.00	0.11	0.00	0.00	0.00	0.00	0.00
KN805649.1	302628	0.09	0.00	0.00	0.00	0.25	0.02	0.00	0.00
KN805649.1	302645	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805649.1	302682	0.11	0.00	0.42	0.00	0.19	0.00	0.00	0.00
KN805649.1	302715	0.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805649.1	344995	0.01	0.01	0.00	0.00	0.00	0.00	0.00	0.00
KN805649.1	345000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805649.1	345001	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805649.1	345005	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00
KN805649.1	345006	0.00	0.00	0.00	0.00	0.01	0.00	0.21	0.98
KN805649.1	345018	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805649.1	345025	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805649.1	345028	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805649.1	345031	0.00	0.00	0.00	0.00	0.24	0.00	0.00	0.00
KN805649.1	345033	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805649.1	345035	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805649.1	345038	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805649.1	345062	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.00
KN805649.1	345285	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805649.1	345303	0.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805649.1	345317	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805649.1	345326	0.16	0.00	0.10	0.01	0.00	0.00	0.02	0.00
KN805649.1	345348	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805649.1	345349	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805649.1	345350	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805649.1	345351	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01
KN805649.1	345355	0.00	0.00	0.00	0.00	0.00	0.09	0.00	0.00
KN805649.1	345356	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.01
KN805649.1	345360	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805649.1	345361	0.00	0.00	0.00	0.00	0.00	0.13	0.00	0.00
KN805649.1	345379	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805649.1	345393	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805649.1	345394	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805649.1	345395	0.00	0.00	0.12	0.00	0.00	0.00	0.00	0.00
KN805649.1	345396	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805649.1	345403	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805649.1	345404	0.00	0.27	0.00	0.00	0.00	0.00	0.00	0.00
KN805649.1	345406	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805649.1	345407	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805649.1	345412	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.01
KN805649.1	345413	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805649.1	345426	0.04	0.01	0.07	0.00	0.00	0.00	0.00	0.00
KN805649.1	345474	0.00	0.17	0.11	0.00	0.17	0.00	0.01	0.00
KN805649.1	345475	0.00	0.06	0.11	0.00	0.01	0.02	0.02	0.01
KN805649.1	409108	0.14	0.08	0.03	0.00	0.25	0.07	0.14	0.00
KN805649.1	409130	0.14	0.06	0.03	0.00	0.09	0.09	0.15	0.00
KN805649.1	409135	0.10	0.07	0.03	0.00	0.08	0.07	0.13	0.00
KN805649.1	471043	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805649.1	471090	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805649.1	503043	0.01	0.02	0.10	0.00	0.00	0.18	0.01	0.00
KN805649.1	503091	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805649.1	551216	0.00	0.00	0.00	0.00	0.10	0.00	0.00	0.96
KN805649.1	551262	0.00	0.00	0.00	0.00	0.29	0.00	0.00	0.99
KN805649.1	551266	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.99
KN805649.1	551272	0.00	0.00	0.00	0.00	0.18	0.00	0.00	0.99
KN805650.1	51952	0.43	0.39	0.62	0.85	0.71	0.72	0.59	0.98
KN805650.1	51962	0.44	0.45	0.58	1.00	0.56	0.73	0.50	0.03
KN805650.1	52043	0.44	0.73	0.54	1.00	0.30	0.73	0.37	0.99
KN805650.1	52045	0.61	0.74	0.53	0.00	0.48	1.00	0.46	0.88
KN805650.1	52047	0.53	0.82	0.47	0.00	0.50	0.99	0.65	0.01
KN805650.1	52052	0.58	0.58	0.44	1.00	0.66	0.50	0.45	0.87
KN805650.1	52055	0.26	0.54	0.23	1.00	0.47	0.65	0.05	0.87
KN805650.1	52071	0.16	0.06	0.08	0.00	0.23	0.00	0.05	0.00
KN805650.1	379131	0.16	0.22	0.21	0.00	0.00	0.00	0.30	0.62
KN805650.1	379145	0.00	0.00	0.10	0.00	0.00	0.00	0.00	0.00
KN805650.1	379152	0.00	0.12	0.19	0.00	0.00	0.00	0.00	0.00
KN805650.1	379155	0.00	0.10	0.00	0.00	0.00	0.01	0.00	0.00
KN805650.1	379173	0.00	0.00	0.00	0.00	0.01	0.00	0.10	0.00
KN805650.1	379176	0.00	0.00	0.00	0.00	0.00	0.51	0.00	1.00
KN805650.1	379183	0.17	0.00	0.15	0.00	0.18	0.00	0.11	0.00
KN805650.1	379199	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00
KN805650.1	379202	0.00	0.21	0.00	0.00	0.19	0.00	0.00	0.00
KN805650.1	379719	0.00	0.27	0.00	0.00	0.00	0.00	0.00	0.00
KN805650.1	379782	0.00	0.00	0.00	0.00	0.01	0.00	0.19	0.00
KN805651.1	38135	0.00	0.09	0.02	0.00	0.00	0.00	0.00	0.00
KN805651.1	38156	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00
KN805651.1	42452	0.03	0.18	0.43	0.00	0.30	0.00	0.09	0.00
KN805651.1	67439	0.00	0.00	0.00	0.00	0.01	0.00	0.05	0.00
KN805651.1	67441	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805651.1	67463	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.98
KN805651.1	67864	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805651.1	67876	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805651.1	67884	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805651.1	67894	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805651.1	67900	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805651.1	67999	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805651.1	68010	0.00	0.01	0.00	0.00	0.00	0.01	0.00	0.00
KN805651.1	68013	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805651.1	68020	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805651.1	68025	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01
KN805651.1	68032	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805651.1	68037	0.00	0.00	0.09	0.00	0.00	0.00	0.00	0.00
KN805651.1	87718	0.11	0.01	0.02	0.00	0.00	0.14	0.00	0.00
KN805651.1	87739	0.08	0.00	0.00	0.00	0.00	0.00	0.04	0.00
KN805651.1	87741	0.00	0.29	0.00	0.00	0.00	0.00	0.00	0.00
KN805651.1	87760	0.08	0.14	0.19	0.00	0.20	0.14	0.11	0.00
KN805651.1	87777	0.00	0.15	0.02	0.00	0.18	0.32	0.20	0.00
KN805651.1	87781	0.08	0.00	0.02	0.00	0.00	0.00	0.02	0.00
KN805651.1	87786	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00
KN805651.1	87787	0.00	0.18	0.00	0.99	0.00	0.01	0.03	0.00
KN805651.1	87801	0.00	0.41	0.00	0.00	1.00	0.46	0.37	0.00
KN805651.1	87809	0.50	0.59	0.00	0.00	1.00	0.00	0.34	0.00
KN805651.1	87881	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805651.1	87908	0.00	0.00	0.21	0.01	1.00	0.00	0.00	0.00
KN805651.1	87922	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805651.1	87927	0.50	0.00	0.27	0.00	0.00	0.00	0.00	0.00
KN805651.1	248637	0.31	0.33	0.35	0.00	0.30	0.19	0.31	0.48
KN805651.1	248652	0.12	0.31	0.35	0.09	0.23	0.19	0.32	0.00
KN805651.1	248682	0.24	0.27	0.24	0.10	0.18	0.20	0.20	0.00
KN805651.1	415757	0.00	0.10	0.00	0.00	0.00	0.00	0.00	0.00
KN805651.1	415780	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.01
KN805651.1	415803	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805651.1	415878	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805651.1	415887	0.00	0.00	0.00	0.00	0.55	0.00	0.00	0.00
KN805651.1	466401	0.00	0.00	0.15	0.00	0.00	0.77	0.01	0.96
KN805651.1	466405	0.02	0.00	0.18	0.00	0.02	0.03	0.01	0.00
KN805651.1	488819	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805651.1	537225	0.00	0.00	0.00	0.00	0.38	0.02	0.13	0.00
KN805651.1	537230	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805651.1	537232	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805651.1	537238	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.00
KN805651.1	537255	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805651.1	551229	0.06	0.04	0.46	0.12	0.11	0.00	0.05	0.00
KN805652.1	44076	0.93	0.81	0.76	0.45	0.81	0.99	0.93	1.00
KN805652.1	44080	0.80	0.64	0.77	0.45	0.93	1.00	0.93	1.00
KN805652.1	177943	0.00	0.00	0.33	0.00	0.00	0.00	0.00	0.00
KN805652.1	177948	0.00	0.00	0.00	1.00	0.00	0.00	0.01	0.00
KN805652.1	177953	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805652.1	177956	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805652.1	177962	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805652.1	177975	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805652.1	177990	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805652.1	177997	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805652.1	178002	0.00	0.00	0.00	0.00	0.20	0.00	0.00	0.00
KN805652.1	178006	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805652.1	178016	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805652.1	178021	0.01	0.17	0.00	0.00	0.01	0.00	0.03	0.00
KN805652.1	178661	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805652.1	178664	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805652.1	178672	0.10	0.15	0.00	0.00	0.00	0.00	0.01	0.00
KN805652.1	178673	0.10	0.10	0.00	0.00	0.11	0.02	0.00	0.00
KN805652.1	178696	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805652.1	178745	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805652.1	234590	0.45	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805652.1	234596	0.00	0.00	0.00	0.00	0.00	0.17	0.00	0.00
KN805652.1	234598	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00
KN805652.1	234600	0.00	0.10	0.00	0.00	0.00	0.00	0.00	0.00
KN805652.1	234605	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00
KN805652.1	234640	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01
KN805652.1	266544	0.00	0.02	0.00	0.00	0.08	0.00	0.00	0.00
KN805652.1	266575	0.00	0.00	0.00	0.01	0.09	0.14	0.00	0.00
KN805652.1	266592	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.00
KN805652.1	266623	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00
KN805652.1	266633	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00
KN805652.1	266634	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805652.1	266636	0.00	0.00	0.00	0.00	0.17	0.00	0.00	0.00
KN805652.1	266637	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805652.1	266647	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00
KN805652.1	266892	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805652.1	266899	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805652.1	266901	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805652.1	266905	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805652.1	266907	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805652.1	266912	0.00	0.00	0.00	0.00	0.62	0.00	0.00	0.00
KN805652.1	283380	0.79	0.76	0.78	0.73	0.79	0.67	0.83	0.92
KN805652.1	327918	0.15	0.00	0.18	0.00	0.00	0.08	0.00	0.96
KN805652.1	327919	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805652.1	327944	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805652.1	327945	0.00	0.00	0.06	0.00	0.00	0.00	0.00	0.00
KN805652.1	327967	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01
KN805652.1	328000	0.00	0.00	0.11	0.00	0.13	0.00	0.02	0.01
KN805652.1	328268	0.13	0.00	0.15	0.00	0.11	0.00	0.00	0.00
KN805652.1	328278	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805652.1	328280	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805652.1	328301	0.09	0.00	0.01	0.00	0.00	0.01	0.01	0.00
KN805652.1	330415	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00
KN805652.1	330417	0.00	0.00	0.00	0.00	0.17	0.00	0.00	0.00
KN805652.1	330419	0.00	0.00	0.00	0.00	0.00	0.90	0.00	0.00
KN805652.1	330421	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805652.1	330425	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805652.1	330429	0.00	0.01	0.00	0.00	0.01	0.00	0.00	0.00
KN805652.1	330431	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805652.1	330468	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00
KN805652.1	330491	0.00	0.00	0.00	0.00	0.00	0.00	0.50	0.00
KN805652.1	330501	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805652.1	330503	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805652.1	330506	0.00	0.00	0.00	0.00	0.00	0.43	0.09	0.00
KN805652.1	343779	0.00	0.57	0.31	0.00	0.00	0.00	0.05	0.01
KN805652.1	412719	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.80
KN805652.1	412723	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805652.1	412742	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805652.1	412770	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805652.1	412795	0.01	0.00	0.07	0.00	0.08	0.00	0.00	0.08
KN805652.1	412796	0.00	0.00	0.24	0.00	0.00	0.00	0.00	0.47
KN805652.1	507955	0.97	0.87	0.92	0.57	0.90	0.80	0.72	1.00
KN805652.1	507961	0.87	0.78	0.62	0.63	0.33	0.72	0.56	1.00
KN805652.1	529945	0.44	0.16	0.30	0.09	0.39	0.27	0.75	0.00
KN805652.1	541699	0.71	0.51	0.32	0.04	0.75	0.03	0.67	0.08
KN805653.1	247369	0.05	0.03	0.42	0.00	0.05	0.21	0.11	0.06
KN805653.1	247377	0.61	0.56	0.88	0.68	0.42	0.50	0.18	0.75
KN805653.1	247392	0.66	0.60	0.86	0.74	0.42	0.43	0.16	0.69
KN805653.1	468138	0.11	0.00	0.09	0.00	0.20	0.01	0.43	0.00
KN805653.1	468154	0.00	0.00	0.09	0.00	0.00	0.00	0.00	0.00
KN805653.1	468165	0.00	0.00	0.09	0.00	0.00	0.00	0.00	0.00
KN805653.1	546814	0.00	0.00	0.27	0.04	0.07	0.09	0.05	0.10
KN805654.1	259851	0.12	0.21	0.10	0.00	0.14	0.07	0.00	0.00
KN805654.1	259854	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.00
KN805654.1	259859	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805654.1	259883	0.16	0.14	0.26	0.00	0.00	0.17	0.00	0.00
KN805654.1	314250	0.16	0.01	0.03	0.00	0.03	0.03	0.00	0.02
KN805654.1	314295	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.08
KN805654.1	314413	0.00	0.00	0.10	0.00	0.00	0.00	0.00	0.00
KN805654.1	314426	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02
KN805654.1	314429	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805654.1	314431	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805654.1	314434	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805654.1	314446	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00
KN805654.1	314449	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805654.1	314452	0.00	0.00	0.01	0.00	0.17	0.00	0.14	0.01
KN805654.1	314576	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.00
KN805654.1	314893	0.15	0.00	0.06	0.00	0.00	0.00	0.00	0.00
KN805654.1	314901	0.00	0.19	0.09	0.00	0.00	0.00	0.01	0.00
KN805654.1	314908	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805654.1	314948	0.00	0.00	0.00	0.00	0.23	0.00	0.00	0.00
KN805654.1	314959	0.00	0.00	0.20	0.00	0.00	0.00	0.00	0.00
KN805654.1	314974	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KN805654.1	508535	0.00	0.24	0.15	0.00	0.00	0.00	0.00	1.00
KN805654.1	508544	0.00	0.38	0.00	0.00	0.00	0.00	0.96	0.00
KN805654.1	508552	0.43	0.14	0.17	0.00	0.00	0.36	0.85	0.00
KN805654.1	508555	0.72	0.38	0.18	0.00	0.00	0.36	0.00	0.00
KN805654.1	508566	0.43	0.00	0.00	0.00	0.00	0.64	0.85	0.00
