chr	pos	NO_20-N4	NO_20-N2	NO_20-N1	HY_5-N1	HY_5-N2	HY_5-N3
KN811412.1	898393	0.92	1.00	1.00	0.48	1.00	0.66
KN811412.1	898413	0.92	1.00	1.00	0.48	0.98	0.67
KN811412.1	898423	0.88	1.00	1.00	0.49	0.91	0.65
KN811412.1	1149536	0.56	0.11	0.79	0.35	0.60	0.79
KN811412.1	1435013	1.00	0.15	1.00	0.27	0.59	0.77
KN811412.1	1435016	1.00	0.15	0.50	0.56	0.96	1.00
KN811412.1	1435024	1.00	1.00	1.00	0.67	0.96	0.69
KN811413.1	1511913	0.52	1.00	1.00	0.89	0.91	0.97
KN811413.1	1534146	0.20	0.45	0.58	0.94	0.67	0.91
KN811414.1	1136322	0.91	0.89	0.92	0.92	0.89	0.69
KN811414.1	1136325	0.85	0.89	0.76	0.97	0.96	0.68
KN811414.1	1136338	0.85	0.83	0.81	0.88	0.95	0.66
KN811415.1	465842	0.64	0.24	1.00	0.82	0.56	0.80
KN811415.1	465859	0.53	0.25	0.94	0.60	0.93	0.93
KN811415.1	767264	0.70	0.50	0.45	0.85	0.75	0.41
KN811415.1	1503486	0.89	0.95	1.00	0.93	0.95	0.95
KN811415.1	1503489	0.87	0.95	1.00	0.99	0.87	0.98
KN811415.1	1503502	0.93	0.95	1.00	0.97	0.97	0.95
KN811416.1	985137	0.19	0.12	0.44	0.40	0.37	0.46
KN811416.1	1080715	1.00	1.00	0.97	0.92	1.00	0.94
KN811416.1	1080735	0.97	1.00	0.99	1.00	0.98	0.92
KN811417.1	575438	0.49	0.80	1.00	0.18	0.59	0.86
KN811417.1	1409070	0.88	0.18	0.10	0.50	0.43	0.28
KN811417.1	1754144	0.26	0.60	1.00	0.31	0.81	0.50
KN811418.1	352787	0.69	0.93	0.96	0.84	0.70	0.67
KN811418.1	352795	0.75	0.96	0.96	0.93	0.71	0.87
KN811420.1	202609	0.70	1.00	0.44	0.34	0.90	1.00
KN811420.1	202852	0.58	1.00	0.98	0.95	0.68	0.77
KN811420.1	202897	0.34	0.83	0.47	0.49	0.50	0.35
KN811421.1	1094272	0.90	1.00	1.00	0.88	0.61	0.89
KN811423.1	1241050	0.14	0.40	0.20	0.12	0.19	0.17
KN811423.1	1436691	0.52	0.50	0.25	0.79	0.32	0.45
KN811423.1	1436693	0.13	0.16	0.25	0.33	0.19	0.47
KN811425.1	893731	0.84	1.00	1.00	0.85	0.95	0.95
KN811425.1	969119	0.77	0.82	1.00	0.97	1.00	0.97
KN811425.1	969127	1.00	0.86	0.86	0.97	0.94	0.89
KN811425.1	969135	0.80	0.91	0.79	0.94	1.00	1.00
KN811425.1	969177	0.93	0.83	1.00	0.86	0.97	0.94
KN811425.1	969184	0.79	0.87	0.94	0.78	0.97	0.91
KN811425.1	1141036	0.78	0.70	0.79	0.86	0.73	0.88
KN811425.1	1141045	0.77	0.70	0.82	0.76	0.69	0.92
KN811426.1	938697	0.92	0.56	0.50	0.37	0.67	0.85
KN811426.1	1160561	0.92	0.38	1.00	0.77	0.89	0.60
KN811427.1	295985	0.91	0.12	1.00	0.96	0.61	0.88
KN811427.1	1156470	0.94	0.94	0.95	0.67	0.97	0.92
KN811427.1	1156491	0.88	0.75	0.86	0.96	0.66	0.78
KN811428.1	443015	1.00	0.58	0.45	0.56	0.76	1.00
KN811429.1	282576	1.00	1.00	1.00	0.68	1.00	1.00
KN811429.1	655764	0.81	0.96	0.54	0.55	0.28	0.49
KN811429.1	655787	1.00	0.96	1.00	0.91	1.00	0.62
KN811430.1	1282421	0.81	0.83	0.52	0.95	0.77	0.90
KN811432.1	298859	0.94	0.79	0.86	0.67	0.78	0.87
KN811433.1	138855	0.98	0.12	1.00	0.95	0.52	0.92
KN811433.1	167835	0.92	0.23	0.70	0.93	0.93	0.86
KN811433.1	1464464	0.88	0.88	1.00	0.87	0.88	0.97
KN811433.1	1464472	0.87	0.80	1.00	0.90	0.92	0.60
KN811433.1	1464480	0.90	0.93	0.89	0.86	0.89	0.95
KN811434.1	918345	0.94	0.45	1.00	0.95	0.38	0.88
KN811435.1	936822	0.90	1.00	1.00	0.93	0.90	0.89
KN811436.1	10115	0.32	0.91	0.14	0.92	0.89	0.79
KN811436.1	184731	0.40	0.84	1.00	0.28	0.40	0.95
KN811436.1	184760	0.37	0.91	1.00	0.91	0.97	1.00
KN811436.1	930382	0.16	0.12	0.14	0.54	0.14	0.36
KN811436.1	930404	0.30	0.38	0.22	0.69	0.78	0.57
KN811436.1	930415	1.00	0.77	0.22	0.67	0.87	0.36
KN811436.1	944022	0.93	1.00	0.20	0.39	0.75	0.46
KN811439.1	142004	0.71	0.83	0.15	0.86	0.53	0.62
KN811439.1	241596	0.58	0.80	0.60	0.67	0.64	0.65
KN811439.1	241603	0.58	0.80	0.40	0.81	0.79	0.71
KN811439.1	286667	0.33	0.82	1.00	0.88	0.96	0.52
KN811439.1	438763	1.00	1.00	1.00	1.00	1.00	1.00
KN811439.1	438784	1.00	1.00	1.00	0.98	1.00	0.79
KN811439.1	967167	0.99	1.00	1.00	0.81	0.42	0.95
KN811439.1	967197	0.43	0.37	0.58	0.82	0.69	0.48
KN811439.1	992267	1.00	0.70	0.94	1.00	0.95	0.84
KN811439.1	1052883	0.95	0.41	0.82	1.00	0.95	0.91
KN811439.1	1052888	0.95	0.34	0.88	0.67	0.93	0.87
KN811439.1	1052890	0.92	0.92	0.82	0.95	0.45	0.83
KN811439.1	1052922	0.54	0.24	0.88	0.55	0.88	0.67
KN811439.1	1255914	1.00	1.00	1.00	0.20	0.58	1.00
KN811439.1	1255925	0.90	1.00	0.97	1.00	1.00	1.00
KN811439.1	1323777	0.80	0.91	1.00	0.72	0.72	0.94
KN811439.1	1323786	0.90	1.00	1.00	0.53	0.71	0.97
KN811440.1	824988	0.67	0.77	0.96	0.57	0.72	0.87
KN811440.1	825038	0.85	0.64	0.91	0.62	0.82	0.91
KN811440.1	825070	0.83	0.73	1.00	0.70	0.91	0.89
KN811440.1	825072	0.85	1.00	1.00	0.76	0.97	0.97
KN811440.1	825077	0.96	0.73	0.77	0.90	0.94	0.97
KN811440.1	825083	0.94	1.00	1.00	0.95	1.00	0.98
KN811441.1	344319	0.87	0.31	0.69	0.78	0.71	0.78
KN811441.1	344350	0.76	0.81	0.67	0.92	0.81	0.79
KN811441.1	344436	1.00	0.76	0.90	0.82	0.91	0.82
KN811441.1	344468	0.94	0.82	0.90	1.00	0.98	0.96
KN811441.1	344470	1.00	0.88	0.90	1.00	0.96	0.93
KN811441.1	344475	0.88	0.88	0.75	0.91	0.98	0.93
KN811441.1	344481	1.00	0.82	0.90	1.00	0.98	1.00
KN811441.1	522199	0.88	0.43	1.00	0.77	0.90	0.67
KN811442.1	700732	0.77	0.43	0.16	0.87	0.91	0.91
KN811442.1	700750	0.82	0.90	0.88	0.86	0.94	0.95
KN811443.1	280888	0.97	0.94	0.66	1.00	1.00	1.00
KN811445.1	161899	0.48	0.88	0.33	0.54	0.78	0.16
KN811445.1	162262	0.48	0.85	0.33	0.53	0.78	0.16
KN811445.1	1144581	0.49	0.52	0.73	0.59	0.64	0.51
KN811446.1	1165366	0.53	0.30	0.51	0.32	0.44	0.84
KN811446.1	1165376	0.91	0.20	0.72	0.36	0.58	0.84
KN811446.1	1207776	0.65	0.50	0.80	0.67	0.93	0.81
KN811447.1	609817	0.86	0.70	0.20	0.46	0.43	0.60
KN811447.1	825355	0.55	0.17	0.55	0.14	0.75	0.98
KN811447.1	825359	0.92	1.00	0.82	0.31	0.89	0.96
KN811447.1	825383	0.95	0.23	1.00	0.90	0.99	0.96
KN811447.1	1743240	0.82	0.91	0.92	0.93	1.00	0.99
KN811447.1	2242374	0.45	1.00	0.99	1.00	1.00	0.60
KN811447.1	2242377	1.00	1.00	1.00	1.00	1.00	1.00
KN811447.1	2528967	1.00	1.00	1.00	0.99	1.00	0.47
KN811447.1	3502528	0.48	0.54	0.72	0.59	0.58	0.45
KN811447.1	4263368	0.81	1.00	0.99	0.93	0.85	0.75
KN811450.1	946845	0.20	0.47	0.88	0.88	0.76	0.80
KN811450.1	1124644	0.86	0.32	1.00	0.80	1.00	0.73
KN811450.1	1203883	0.51	1.00	1.00	0.89	0.91	0.97
KN811450.1	1335126	0.96	0.91	0.97	0.88	0.92	0.98
KN811450.1	1335148	0.70	0.98	0.94	0.89	0.98	0.91
KN811450.1	1517515	0.43	0.47	0.80	0.62	0.33	0.24
KN811450.1	1517523	0.79	0.73	0.89	0.94	0.69	0.64
KN811453.1	404386	0.82	0.31	0.73	0.93	0.62	0.70
KN811453.1	404389	0.82	0.36	0.80	1.00	0.62	0.70
KN811453.1	404393	0.74	0.27	0.60	1.00	0.43	0.66
KN811454.1	333020	0.34	0.98	0.25	0.37	0.90	0.68
KN811454.1	488576	0.92	0.18	0.14	0.28	0.36	0.75
KN811454.1	506275	1.00	0.84	1.00	0.81	1.00	1.00
KN811454.1	873400	0.37	1.00	1.00	0.60	0.65	1.00
KN811455.1	1161514	1.00	0.50	1.00	1.00	1.00	1.00
KN811456.1	194084	0.79	1.00	0.97	0.96	0.90	0.81
KN811456.1	194105	0.21	0.94	0.66	0.47	0.71	0.50
KN811456.1	775970	0.18	0.40	0.28	0.84	0.69	0.97
KN811458.1	36563	0.91	0.80	0.83	0.83	0.83	0.95
KN811458.1	36571	0.91	0.90	0.78	0.85	0.82	0.90
KN811461.1	561661	0.68	0.94	0.70	0.96	0.50	0.91
KN811461.1	561663	0.97	0.94	0.80	0.96	0.96	0.70
KN811461.1	561668	0.97	0.83	0.80	0.88	0.66	0.95
KN811461.1	561674	0.96	0.94	0.80	1.00	0.97	0.96
KN811461.1	1201752	0.96	1.00	1.00	1.00	0.95	1.00
KN811461.1	1211027	0.42	0.25	1.00	0.95	0.73	0.90
KN811461.1	1211037	0.90	0.82	1.00	0.95	0.97	1.00
KN811461.1	1211040	0.38	0.55	0.68	0.77	0.96	0.63
KN811462.1	345182	0.90	1.00	1.00	0.87	0.90	0.89
KN811463.1	353592	0.63	0.12	0.48	0.50	0.45	0.52
KN811463.1	658089	0.29	0.27	0.24	0.35	0.50	0.85
KN811464.1	407308	1.00	1.00	1.00	1.00	1.00	1.00
KN811464.1	407311	1.00	1.00	1.00	1.00	1.00	1.00
KN811464.1	407328	1.00	0.10	1.00	1.00	1.00	1.00
KN811464.1	407343	1.00	0.10	1.00	1.00	0.75	1.00
KN811464.1	893531	0.96	1.00	1.00	1.00	0.98	0.96
KN811464.1	893548	0.96	0.96	1.00	0.54	0.62	0.88
KN811466.1	1204051	0.88	0.68	0.14	0.20	0.38	0.53
KN811467.1	1035413	0.95	0.71	0.68	0.92	0.95	0.97
KN811468.1	600997	0.62	0.83	0.83	0.92	0.95	0.87
KN811468.1	601010	0.84	0.89	0.75	0.94	0.97	0.91
KN811468.1	601013	0.90	0.89	0.92	0.89	0.90	0.93
KN811469.1	757744	0.62	0.73	1.00	1.00	0.82	0.79
KN811469.1	757746	0.21	0.73	1.00	1.00	1.00	0.88
KN811470.1	149980	0.86	0.92	0.83	0.89	0.98	0.95
KN811470.1	149998	0.87	0.54	0.33	0.88	0.68	0.90
KN811470.1	374305	1.00	0.36	1.00	0.71	0.39	1.00
KN811470.1	458914	0.88	1.00	1.00	0.88	0.90	0.89
KN811470.1	561003	0.77	0.73	0.46	0.77	0.67	0.73
KN811470.1	561631	0.97	0.64	0.91	0.98	0.78	0.94
KN811471.1	850911	0.89	0.80	0.83	0.91	0.84	0.83
KN811471.1	850941	0.71	0.50	0.21	0.21	0.35	0.31
KN811472.1	85206	0.95	0.88	0.88	0.83	0.89	0.91
KN811472.1	85214	0.92	0.81	0.75	0.74	0.89	0.93
KN811472.1	90983	0.98	1.00	0.97	0.95	0.60	1.00
KN811472.1	996904	0.27	0.54	0.86	0.13	0.14	0.19
KN811472.1	1249318	0.83	0.83	1.00	0.92	0.91	0.95
KN811472.1	1249331	0.82	0.83	1.00	1.00	0.96	0.99
KN811472.1	1379243	0.94	0.18	0.18	0.50	0.38	0.28
KN811473.1	868939	0.21	0.45	0.58	0.94	0.69	0.91
KN811475.1	474621	0.64	0.36	0.62	0.84	0.86	0.90
KN811475.1	474623	0.81	0.50	0.74	0.84	0.96	0.91
KN811477.1	122798	0.58	0.17	0.40	0.82	0.36	0.21
KN811478.1	768562	0.49	0.15	0.53	0.58	0.51	0.52
KN811480.1	1050726	0.68	0.24	0.20	0.65	0.92	0.97
KN811480.1	1090927	0.77	1.00	0.92	0.69	0.95	0.33
KN811481.1	1865	0.88	1.00	1.00	0.91	0.90	0.89
KN811482.1	1140481	0.96	0.95	1.00	0.96	0.35	0.97
KN811482.1	1140489	1.00	0.95	1.00	0.96	0.33	0.99
KN811482.1	1140495	0.98	1.00	0.91	0.90	0.36	0.80
KN811482.1	1140516	0.96	0.23	0.82	0.97	0.87	1.00
KN811482.1	1140584	0.88	0.80	0.94	0.59	0.97	0.43
KN811483.1	51750	0.64	0.81	1.00	0.88	0.75	0.64
KN811483.1	51757	0.54	0.81	1.00	0.85	0.75	0.55
KN811483.1	51770	0.68	0.75	1.00	0.88	0.75	0.73
KN811483.1	51789	0.59	0.62	1.00	0.70	0.68	0.57
KN811483.1	451335	1.00	1.00	1.00	1.00	0.63	0.52
KN811483.1	896593	0.92	1.00	1.00	1.00	1.00	1.00
KN811483.1	1040342	1.00	0.80	1.00	1.00	0.83	0.88
KN811483.1	1137524	0.80	1.00	0.30	0.96	0.59	0.66
KN811485.1	159560	1.00	1.00	1.00	1.00	0.83	0.62
KN811485.1	159564	1.00	0.98	1.00	1.00	0.85	1.00
KN811485.1	159566	1.00	1.00	1.00	0.17	1.00	1.00
KN811485.1	159573	1.00	1.00	1.00	1.00	1.00	1.00
KN811485.1	159588	0.16	0.38	1.00	0.13	0.56	1.00
KN811485.1	159597	1.00	1.00	1.00	1.00	0.82	1.00
KN811485.1	542678	0.13	0.16	0.30	0.46	0.20	0.59
KN811486.1	13055	0.74	0.85	0.72	0.57	0.56	0.54
KN811486.1	13065	0.68	0.83	0.52	0.52	0.42	0.62
KN811486.1	458488	0.75	1.00	0.92	0.75	0.99	1.00
KN811486.1	458497	0.78	1.00	1.00	0.54	0.57	0.99
KN811486.1	458534	0.81	1.00	1.00	0.56	0.57	1.00
KN811486.1	1076532	0.70	1.00	0.91	0.67	0.75	0.89
KN811487.1	20737	0.18	0.40	0.19	0.84	0.77	0.97
KN811487.1	75233	0.63	0.42	0.24	0.70	0.41	0.62
KN811487.1	75257	0.74	0.64	0.53	0.74	0.77	0.80
KN811487.1	126464	0.84	0.64	0.92	0.80	0.81	0.50
KN811489.1	856730	0.77	0.72	1.00	0.98	0.65	0.91
KN811489.1	856736	0.92	0.75	1.00	0.22	0.93	0.53
KN811490.1	933735	0.66	0.80	0.60	0.95	0.48	0.65
KN811490.1	933746	0.71	0.75	0.82	0.86	0.47	0.74
KN811490.1	933758	0.71	0.69	1.00	0.88	0.39	0.77
KN811490.1	933764	0.69	0.69	0.57	0.88	0.45	0.72
KN811490.1	933843	0.66	0.80	0.60	0.95	0.48	0.65
KN811490.1	933854	0.71	0.75	0.82	0.86	0.47	0.74
KN811490.1	933866	0.71	0.69	1.00	0.88	0.39	0.77
KN811490.1	933872	0.67	0.69	0.57	0.88	0.45	0.72
KN811491.1	215049	0.21	0.42	0.58	0.94	0.67	0.91
KN811492.1	607294	0.79	0.18	0.14	0.47	0.51	0.33
KN811492.1	831821	0.95	0.98	0.75	0.91	0.92	0.98
KN811492.1	831848	0.89	0.97	0.75	0.91	1.00	0.98
KN811492.1	831856	0.91	0.97	0.94	0.50	1.00	0.90
KN811492.1	1162518	0.81	0.96	0.75	0.10	0.77	0.96
KN811492.1	1162522	0.88	1.00	1.00	0.17	0.90	0.96
KN811492.1	1162533	0.88	1.00	0.75	0.17	1.00	1.00
KN811492.1	1162546	0.88	1.00	1.00	0.97	0.99	0.96
KN811493.1	1272587	0.63	1.00	1.00	1.00	1.00	0.89
KN811493.1	1272589	0.56	1.00	1.00	1.00	0.35	0.91
KN811493.1	3877291	1.00	1.00	1.00	1.00	1.00	1.00
KN811495.1	62162	0.87	0.91	0.83	0.89	0.99	0.95
KN811495.1	62180	0.84	0.52	0.33	0.88	0.69	0.90
KN811495.1	684946	0.18	0.40	0.24	0.84	0.90	0.94
KN811495.1	1090123	0.77	0.48	0.15	0.87	0.92	0.91
KN811495.1	1090141	0.83	0.91	0.88	0.86	0.94	0.95
KN811496.1	580007	0.27	0.29	0.21	0.10	0.10	0.17
KN811497.1	292479	0.78	0.43	0.28	0.86	0.91	0.93
KN811497.1	292497	0.78	0.90	0.76	0.85	0.94	0.95
KN811497.1	498814	0.76	0.95	0.68	0.40	0.50	0.85
KN811497.1	498838	0.69	0.14	0.30	0.30	0.38	0.10
KN811498.1	46887	0.15	0.18	0.18	0.33	0.10	0.29
KN811501.1	307516	0.88	1.00	0.98	0.84	0.95	0.88
KN811503.1	433240	0.59	0.65	0.42	0.78	0.53	0.55
KN811503.1	651357	0.50	0.67	0.78	0.51	0.46	0.43
KN811503.1	651695	0.92	0.93	0.67	0.99	0.54	0.50
KN811504.1	192143	0.84	0.98	0.83	0.93	0.67	0.31
KN811504.1	192165	0.90	0.95	0.92	0.93	0.93	0.75
KN811504.1	192181	0.72	0.88	0.64	0.81	0.40	0.18
KN811504.1	192260	0.93	0.97	0.73	0.25	0.94	0.54
KN811504.1	811107	0.52	1.00	1.00	0.89	0.91	0.97
KN811507.1	502198	0.42	0.92	0.80	0.45	0.20	0.28
KN811507.1	777317	0.17	0.18	0.14	0.46	0.22	1.00
KN811508.1	718593	0.97	0.97	1.00	1.00	1.00	1.00
KN811508.1	718642	0.67	0.94	1.00	0.57	0.15	0.55
KN811509.1	281436	0.86	0.75	0.75	0.92	0.90	0.89
KN811509.1	281445	0.90	0.96	0.75	0.94	0.94	0.93
KN811509.1	281453	0.90	0.96	0.84	0.89	0.90	0.94
KN811510.1	231873	0.50	1.00	0.18	0.74	0.70	0.71
KN811510.1	1060640	0.70	0.18	0.10	0.60	0.43	0.90
KN811511.1	193710	0.88	0.95	0.73	0.95	0.97	0.77
KN811511.1	883846	0.80	0.91	0.84	0.88	0.90	0.94
KN811511.1	883856	0.80	0.86	0.92	0.88	0.89	0.94
KN811511.1	883876	0.82	0.55	0.95	0.88	0.85	0.97
KN811511.1	929409	0.92	1.00	1.00	0.89	0.74	0.89
KN811512.1	522116	0.82	0.71	1.00	0.56	0.72	0.91
KN811513.1	488071	0.37	0.45	0.58	0.87	0.45	0.88
KN811513.1	1086482	0.40	0.87	1.00	0.88	1.00	0.37
KN811513.1	1086487	0.69	0.60	0.45	1.00	0.95	0.96
KN811513.1	1086489	0.86	0.87	1.00	1.00	1.00	1.00
KN811514.1	468848	0.28	0.88	0.82	0.31	0.77	0.85
KN811514.1	482792	0.56	0.97	0.64	1.00	0.93	0.89
KN811515.1	328298	0.30	0.27	0.32	0.33	0.17	0.25
KN811516.1	140089	0.62	0.76	0.94	0.83	0.81	0.89
KN811516.1	140139	0.89	0.63	0.88	0.93	0.90	0.98
KN811516.1	140171	0.88	0.72	1.00	0.85	1.00	0.94
KN811516.1	140173	0.88	0.69	1.00	0.96	0.98	0.98
KN811516.1	140178	1.00	0.72	0.75	0.87	0.96	0.96
KN811517.1	726002	0.51	1.00	1.00	0.91	0.91	0.97
KN811517.1	1046383	0.41	0.19	1.00	0.91	0.36	1.00
KN811518.1	142479	0.12	0.20	0.12	0.51	0.61	0.32
KN811518.1	1026937	0.21	0.45	0.58	0.94	0.67	0.91
KN811519.1	675777	0.87	0.89	0.81	0.92	0.91	0.87
KN811520.1	335959	0.92	0.90	0.58	0.36	0.94	0.95
KN811521.1	1006464	0.88	1.00	1.00	0.87	0.90	0.89
KN811522.1	289211	0.25	0.17	0.20	0.24	0.32	0.24
KN811524.1	621292	0.73	0.67	0.61	0.36	0.47	0.39
KN811524.1	621322	0.90	0.87	0.50	0.67	0.74	0.89
KN811524.1	714730	0.94	0.44	1.00	0.87	0.96	0.71
KN811524.1	1141913	0.35	0.91	0.86	0.52	0.69	0.65
KN811525.1	525927	0.61	0.98	0.76	0.60	0.97	0.50
KN811525.1	706363	0.74	0.43	0.28	0.84	0.88	0.93
KN811525.1	706381	0.81	0.90	0.76	0.81	0.94	0.95
KN811525.1	1023704	0.98	1.00	1.00	1.00	0.90	0.94
KN811526.1	520550	0.89	0.98	0.89	0.69	0.33	0.55
KN811526.1	520560	0.96	1.00	1.00	0.74	0.82	0.90
KN811526.1	520571	0.96	0.92	1.00	0.79	0.59	0.72
KN811526.1	520587	0.58	1.00	1.00	0.72	0.31	0.22
KN811526.1	521782	0.54	0.81	0.52	0.20	0.60	0.46
KN811526.1	741857	0.76	0.43	0.33	0.82	0.89	0.90
KN811526.1	741875	0.79	0.83	0.88	0.88	0.94	0.92
KN811526.1	741904	0.62	1.00	0.75	0.78	0.81	0.74
KN811528.1	419069	0.37	1.00	0.45	0.76	0.40	0.37
KN811528.1	642838	1.00	1.00	0.50	0.80	0.50	0.92
KN811528.1	871003	0.17	0.28	0.17	0.19	0.21	0.28
KN811528.1	1066024	0.68	0.56	0.84	0.55	0.30	0.88
KN811528.1	1127183	0.46	1.00	0.71	0.95	0.91	1.00
KN811528.1	1127187	0.87	1.00	0.93	0.89	0.83	0.57
KN811528.1	1127237	0.95	0.70	0.95	0.88	0.93	0.97
KN811529.1	220820	0.92	0.94	1.00	0.93	0.90	0.93
KN811529.1	421318	0.18	0.44	0.31	0.61	0.26	0.66
KN811530.1	242880	0.71	0.85	0.92	0.87	0.84	0.91
KN811530.1	242885	0.73	0.77	0.87	0.94	0.84	0.86
KN811530.1	242969	0.78	0.85	0.68	0.90	0.76	0.80
KN811530.1	242984	0.72	0.62	0.68	0.87	0.47	0.80
KN811531.1	879823	1.00	0.67	1.00	1.00	1.00	1.00
KN811534.1	373973	0.94	0.95	0.88	0.98	1.00	0.90
KN811534.1	373993	0.54	0.89	0.91	1.00	0.91	0.91
KN811539.1	40466	1.00	0.75	0.71	0.82	1.00	1.00
KN811539.1	40473	1.00	0.62	1.00	1.00	1.00	0.96
KN811539.1	40488	1.00	0.81	0.71	0.82	1.00	1.00
KN811539.1	60692	0.83	0.72	0.50	0.93	0.24	0.93
KN811539.1	686918	0.43	0.43	0.19	0.53	0.53	0.85
KN811540.1	383011	0.53	0.27	0.24	0.42	0.38	0.17
KN811540.1	383018	0.39	0.16	0.57	0.54	0.39	0.22
KN811541.1	221257	0.86	1.00	0.98	0.94	0.93	0.81
KN811541.1	731528	1.00	0.60	0.36	0.87	0.99	0.99
KN811541.1	1033749	1.00	1.00	1.00	1.00	1.00	1.00
KN811543.1	334846	0.89	0.47	1.00	0.60	0.71	0.22
KN811544.1	443533	0.76	1.00	0.92	0.75	0.98	1.00
KN811544.1	443542	0.78	0.98	1.00	0.54	0.20	0.97
KN811544.1	443579	0.79	1.00	1.00	0.56	0.20	0.95
KN811545.1	81894	0.88	0.40	0.94	0.79	0.89	0.65
KN811545.1	488986	0.98	1.00	1.00	1.00	1.00	0.98
KN811546.1	1117663	0.89	0.86	0.65	0.79	0.67	0.85
KN811546.1	1117695	0.87	1.00	0.41	0.94	0.86	0.90
KN811546.1	1117697	0.93	0.91	0.82	0.88	0.86	0.95
KN811546.1	1117702	0.91	0.91	0.82	0.88	0.94	0.90
KN811546.1	1146090	0.86	0.91	0.84	0.89	0.99	0.95
KN811546.1	1146108	0.85	0.52	0.32	0.85	0.69	0.90
KN811546.1	2034131	0.51	0.33	0.64	0.79	0.50	0.58
KN811546.1	2034134	0.49	0.25	0.67	0.88	0.46	0.47
KN811546.1	3032705	1.00	0.98	1.00	0.82	1.00	0.94
KN811546.1	3760013	0.37	0.27	0.32	0.41	0.21	0.37
KN811547.1	92222	0.99	1.00	1.00	0.97	0.93	1.00
KN811547.1	92233	0.99	1.00	1.00	0.95	0.91	0.96
KN811547.1	92236	1.00	1.00	1.00	1.00	0.98	1.00
KN811547.1	805569	0.85	0.47	0.91	0.70	0.90	0.61
KN811547.1	805580	0.61	0.40	0.60	0.59	0.81	0.86
KN811547.1	1621905	0.62	0.45	0.30	0.65	0.43	0.67
KN811547.1	1621929	0.73	0.59	0.52	0.84	0.74	0.78
KN811547.1	2551217	1.00	0.25	1.00	1.00	1.00	1.00
KN811547.1	3877620	0.21	0.44	0.15	0.41	0.49	0.82
KN811550.1	6427	0.88	0.76	0.53	0.13	0.85	0.28
KN811550.1	417835	0.35	0.22	0.27	0.18	0.53	0.25
KN811551.1	204061	0.14	0.82	0.33	0.79	0.60	0.50
KN811551.1	340807	0.88	0.64	0.47	0.48	0.68	0.88
KN811551.1	974821	1.00	1.00	1.00	0.99	0.19	0.46
KN811552.1	777986	0.82	0.72	1.00	0.79	0.70	0.68
KN811554.1	864219	0.60	0.17	0.14	0.54	0.35	0.26
KN811555.1	70212	0.97	0.12	1.00	0.94	0.48	0.73
KN811555.1	70221	0.90	1.00	1.00	0.87	0.91	0.77
KN811555.1	70230	0.95	0.88	0.50	0.91	0.96	0.85
KN811555.1	70232	0.90	0.94	1.00	0.96	0.89	0.85
KN811556.1	718933	0.50	0.14	0.23	0.43	0.35	0.43
KN811557.1	317942	0.97	1.00	1.00	1.00	1.00	0.68
KN811558.1	68158	0.61	0.76	0.76	0.67	0.71	0.60
KN811558.1	316374	0.85	0.93	0.70	0.85	0.82	0.92
KN811558.1	807108	0.82	0.83	0.60	0.66	0.94	0.73
KN811561.1	256408	0.91	1.00	0.67	0.93	0.83	0.94
KN811561.1	256586	0.70	0.50	0.75	0.73	0.81	0.65
KN811561.1	256594	0.64	0.90	1.00	0.88	0.65	0.83
KN811561.1	256612	0.56	0.62	0.54	0.75	0.71	0.74
KN811565.1	47431	1.00	0.62	0.94	1.00	0.91	0.83
KN811565.1	695880	0.65	0.50	0.73	0.62	0.85	0.70
KN811565.1	695912	0.80	0.77	0.70	0.77	0.85	0.83
KN811565.1	695914	0.80	0.69	0.80	0.92	0.92	0.78
KN811565.1	695919	0.84	0.69	0.80	0.83	0.92	0.87
KN811567.1	376702	0.78	0.43	0.16	0.86	0.91	0.91
KN811567.1	376720	0.83	0.90	0.88	0.86	0.94	0.95
KN811571.1	391679	0.80	0.87	1.00	0.87	0.80	0.64
KN811571.1	391686	0.29	0.87	1.00	0.84	0.79	0.55
KN811571.1	391699	0.82	0.80	1.00	0.87	0.79	0.73
KN811571.1	391718	0.33	0.67	1.00	0.68	0.71	0.73
KN811572.1	52618	0.62	0.63	0.42	0.75	0.61	0.59
KN811572.1	70892	0.79	0.92	0.76	0.83	0.68	0.83
KN811572.1	482894	0.65	0.86	0.33	0.69	0.77	0.96
KN811572.1	877944	0.25	0.38	0.23	0.27	0.50	0.55
KN811572.1	878182	0.94	0.68	0.98	0.85	0.70	0.78
KN811572.1	878203	0.77	0.58	0.90	0.78	0.25	0.59
KN811572.1	925463	0.75	0.90	0.72	0.57	0.64	0.50
KN811572.1	925473	0.69	0.81	0.52	0.52	0.35	0.58
KN811573.1	59229	0.61	0.59	0.42	0.62	0.62	0.59
KN811574.1	466117	0.91	1.00	0.79	0.69	0.92	1.00
KN811574.1	466133	0.88	1.00	0.82	0.66	0.79	0.62
KN811576.1	313059	0.42	0.16	0.35	0.28	0.72	0.74
KN811576.1	313075	0.91	0.84	0.97	0.91	0.95	0.96
KN811576.1	313097	0.73	1.00	0.73	0.88	0.96	0.88
KN811576.1	930861	0.79	0.87	0.95	0.95	0.99	0.92
KN811576.1	930867	0.86	0.89	0.80	0.88	0.91	0.90
KN811576.1	930872	0.94	0.91	0.95	0.29	0.93	0.92
KN811576.1	930874	0.68	0.89	0.87	0.90	0.72	0.84
