chr	pos	20_20-N4	20_20-N2	20_20-N1	5_5-N1	5_5-N2	5_5-N3
KN805821.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805821.1:1:3848896:1 REF	1965707	0.86	0.91	0.83	0.89	0.99	0.95
KN805821.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805821.1:1:3848896:1 REF	1965725	0.84	0.52	0.33	0.85	0.70	0.90
KN805821.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805821.1:1:3848896:1 REF	2434717	0.72	0.15	0.10	0.50	0.36	0.75
KN805821.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805821.1:1:3848896:1 REF	2741471	0.89	0.90	0.64	0.97	0.82	0.22
KN805822.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805822.1:1:3629573:1 REF	629543	0.95	0.60	0.50	0.52	0.67	0.90
KN805822.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805822.1:1:3629573:1 REF	679700	0.46	0.10	0.15	0.53	0.41	0.55
KN805822.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805822.1:1:3629573:1 REF	679734	0.73	0.57	1.00	0.92	0.77	0.90
KN805822.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805822.1:1:3629573:1 REF	1833667	0.67	0.88	0.78	0.97	0.36	0.89
KN805822.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805822.1:1:3629573:1 REF	2580726	0.65	0.80	0.45	0.68	0.69	0.71
KN805822.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805822.1:1:3629573:1 REF	2694114	1.00	1.00	1.00	0.75	1.00	0.97
KN805822.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805822.1:1:3629573:1 REF	3398765	0.50	0.96	0.50	0.20	0.68	1.00
KN805823.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805823.1:1:423727:1 REF	175056	0.95	0.88	0.75	0.81	0.89	0.91
KN805823.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805823.1:1:423727:1 REF	175064	0.92	0.81	0.67	0.71	0.89	0.93
KN805823.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805823.1:1:423727:1 REF	278350	0.56	0.55	0.50	0.79	0.74	0.91
KN805823.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805823.1:1:423727:1 REF	340791	0.82	0.25	1.00	0.38	0.68	0.82
KN805827.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805827.1:1:439858:1 REF	127526	0.37	0.78	0.81	0.79	0.75	0.46
KN805827.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805827.1:1:439858:1 REF	127698	0.98	0.94	1.00	0.95	0.90	0.82
KN805827.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805827.1:1:439858:1 REF	127707	0.98	0.94	0.73	0.95	0.97	0.89
KN805827.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805827.1:1:439858:1 REF	127716	0.39	0.93	0.73	0.67	0.72	0.67
KN805827.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805827.1:1:439858:1 REF	257961	0.97	1.00	1.00	0.97	0.96	0.92
KN805827.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805827.1:1:439858:1 REF	257969	0.90	0.96	1.00	0.97	0.96	0.66
KN805827.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805827.1:1:439858:1 REF	314761	1.00	0.89	0.12	1.00	0.55	0.98
KN805828.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805828.1:1:427623:1 REF	332144	0.91	0.60	0.50	0.52	0.67	0.89
KN805828.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805828.1:1:427623:1 REF	335329	0.89	0.27	1.00	0.85	0.70	0.92
KN805828.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805828.1:1:427623:1 REF	335367	0.88	0.74	0.29	0.91	0.91	0.99
KN805828.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805828.1:1:427623:1 REF	375129	0.86	0.91	0.30	0.20	0.56	0.77
KN805830.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805830.1:1:393431:1 REF	13410	0.75	0.64	0.67	0.93	0.62	0.61
KN805832.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805832.1:1:399329:1 REF	288105	0.33	0.22	0.26	0.14	0.25	0.13
KN805837.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805837.1:1:421205:1 REF	27291	0.87	0.82	0.42	0.90	0.78	0.88
KN805837.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805837.1:1:421205:1 REF	27313	0.93	1.00	1.00	0.89	0.81	0.98
KN805837.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805837.1:1:421205:1 REF	27326	0.93	1.00	0.60	0.89	0.86	0.98
KN805837.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805837.1:1:421205:1 REF	27329	0.93	0.70	1.00	0.92	0.86	0.93
KN805837.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805837.1:1:421205:1 REF	27381	0.55	0.69	1.00	0.90	0.78	0.91
KN805837.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805837.1:1:421205:1 REF	27402	0.53	0.81	0.95	0.85	0.63	0.85
KN805837.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805837.1:1:421205:1 REF	27408	0.53	0.93	0.95	0.94	0.91	0.89
KN805837.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805837.1:1:421205:1 REF	53696	0.39	0.58	1.00	0.73	0.24	0.56
KN805840.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805840.1:1:353547:1 REF	181979	1.00	1.00	1.00	0.94	0.95	0.98
KN805840.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805840.1:1:353547:1 REF	297000	1.00	1.00	1.00	0.68	0.80	0.65
KN805849.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805849.1:1:405554:1 REF	61378	0.71	0.29	0.40	0.61	0.62	0.62
KN805850.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805850.1:1:344139:1 REF	160251	0.22	0.31	0.31	0.10	0.25	0.33
KN805854.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805854.1:1:383641:1 REF	4780	0.48	0.88	0.33	0.53	0.66	0.16
KN805854.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805854.1:1:383641:1 REF	380298	0.82	0.88	0.88	0.97	0.52	0.77
KN805855.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805855.1:1:400928:1 REF	227772	0.89	1.00	0.91	0.91	0.95	0.94
KN805855.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805855.1:1:400928:1 REF	227792	0.86	0.91	0.90	0.86	0.83	1.00
KN805855.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805855.1:1:400928:1 REF	230737	0.91	0.62	0.50	1.00	0.98	0.92
KN805855.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805855.1:1:400928:1 REF	236531	0.75	0.84	0.79	0.31	0.24	0.12
KN805858.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805858.1:1:449685:1 REF	45690	0.58	0.40	0.75	0.34	0.87	0.74
KN805858.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805858.1:1:449685:1 REF	45729	0.84	0.27	1.00	1.00	0.67	0.80
KN805858.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805858.1:1:449685:1 REF	141856	0.72	0.50	0.68	0.69	0.22	0.41
KN805859.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805859.1:1:404737:1 REF	60650	0.99	0.97	1.00	0.98	0.95	0.98
KN805859.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805859.1:1:404737:1 REF	60990	0.77	1.00	0.20	0.44	0.99	0.48
KN805860.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805860.1:1:502814:1 REF	270047	0.55	1.00	0.80	0.98	1.00	0.58
KN805861.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805861.1:1:329919:1 REF	52378	0.82	0.53	0.75	0.47	0.48	0.67
KN805861.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805861.1:1:329919:1 REF	52379	0.90	1.00	1.00	0.87	0.90	0.89
KN805862.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805862.1:1:352641:1 REF	54158	0.91	0.60	0.91	1.00	0.98	0.90
KN805862.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805862.1:1:352641:1 REF	177965	0.53	1.00	1.00	0.89	0.91	0.97
KN805863.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805863.1:1:380175:1 REF	264749	1.00	1.00	1.00	1.00	0.53	0.28
KN805864.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805864.1:1:360914:1 REF	45662	0.83	1.00	1.00	0.45	0.82	0.77
KN805864.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805864.1:1:360914:1 REF	161690	0.95	1.00	0.30	1.00	1.00	0.17
KN805864.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805864.1:1:360914:1 REF	161706	0.91	0.94	0.40	1.00	1.00	0.21
KN805864.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805864.1:1:360914:1 REF	161988	0.97	0.80	0.26	0.92	0.53	0.84
KN805864.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805864.1:1:360914:1 REF	162013	0.98	1.00	1.00	0.88	0.91	0.81
KN805864.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805864.1:1:360914:1 REF	249411	0.82	1.00	0.60	0.75	0.85	0.70
KN805864.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805864.1:1:360914:1 REF	249416	0.88	1.00	1.00	0.75	0.92	0.81
KN805864.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805864.1:1:360914:1 REF	249450	0.71	0.83	0.80	0.75	0.62	0.62
KN805867.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805867.1:1:334512:1 REF	123427	0.46	0.88	0.43	0.52	0.68	0.16
KN805868.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805868.1:1:436455:1 REF	6109	0.36	0.10	0.45	0.51	0.11	0.21
KN805868.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805868.1:1:436455:1 REF	6416	0.72	1.00	0.80	0.90	0.96	0.79
KN805868.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805868.1:1:436455:1 REF	73821	0.65	0.84	1.00	0.88	0.79	0.90
KN805868.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805868.1:1:436455:1 REF	73840	0.65	0.91	1.00	0.92	0.74	0.90
KN805868.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805868.1:1:436455:1 REF	73853	0.58	0.98	1.00	0.92	0.74	0.23
KN805868.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805868.1:1:436455:1 REF	73860	0.58	0.98	1.00	0.95	0.40	0.26
KN805870.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805870.1:1:437161:1 REF	115259	0.94	0.36	1.00	0.89	0.40	0.88
KN805870.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805870.1:1:437161:1 REF	423564	0.96	0.70	0.88	0.98	0.94	0.91
KN805872.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805872.1:1:361584:1 REF	158469	0.96	0.90	0.90	0.77	0.87	0.88
KN805873.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805873.1:1:375097:1 REF	282	0.78	0.52	0.80	0.79	0.66	0.76
KN805873.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805873.1:1:375097:1 REF	356	0.97	1.00	1.00	1.00	0.83	0.96
KN805873.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805873.1:1:375097:1 REF	76010	1.00	0.95	0.10	0.59	0.93	1.00
KN805873.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805873.1:1:375097:1 REF	89425	0.41	0.56	1.00	0.60	1.00	0.52
KN805873.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805873.1:1:375097:1 REF	176121	1.00	0.93	1.00	1.00	0.93	0.97
KN805874.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805874.1:1:324554:1 REF	102033	1.00	1.00	1.00	1.00	1.00	0.98
KN805874.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805874.1:1:324554:1 REF	102038	0.96	1.00	1.00	1.00	1.00	0.50
KN805874.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805874.1:1:324554:1 REF	102040	1.00	1.00	1.00	0.97	1.00	0.96
KN805874.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805874.1:1:324554:1 REF	102072	1.00	1.00	1.00	1.00	1.00	0.35
KN805877.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805877.1:1:333547:1 REF	206784	0.48	0.88	0.33	0.52	0.66	0.16
KN805883.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805883.1:1:303160:1 REF	128139	0.11	0.92	0.45	0.86	0.11	0.26
KN805883.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805883.1:1:303160:1 REF	128379	1.00	0.91	0.94	0.89	0.93	0.84
KN805888.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805888.1:1:337122:1 REF	262853	1.00	1.00	1.00	0.88	0.89	1.00
KN805888.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805888.1:1:337122:1 REF	262866	1.00	1.00	1.00	0.88	0.89	0.59
KN805888.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805888.1:1:337122:1 REF	335282	0.71	0.14	0.28	0.54	0.72	0.93
KN805888.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805888.1:1:337122:1 REF	335313	0.71	0.14	0.43	0.66	0.79	0.89
KN805888.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805888.1:1:337122:1 REF	335325	0.84	0.12	0.69	0.94	0.83	0.94
KN805889.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805889.1:1:380896:1 REF	320761	0.88	0.25	1.00	0.38	0.71	0.84
KN805891.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805891.1:1:328274:1 REF	312371	0.80	0.88	0.71	0.98	1.00	0.78
KN805891.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805891.1:1:328274:1 REF	312383	0.80	0.88	0.86	0.98	1.00	0.89
KN805892.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805892.1:1:294437:1 REF	91729	0.81	0.50	1.00	0.17	0.82	0.29
KN805894.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805894.1:1:340727:1 REF	224869	0.34	0.24	0.33	0.45	0.35	0.36
KN805896.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805896.1:1:303093:1 REF	153882	0.52	1.00	1.00	0.89	0.91	0.97
KN805897.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805897.1:1:303231:1 REF	94541	0.85	0.93	0.70	0.85	0.80	0.92
KN805899.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805899.1:1:306640:1 REF	46037	0.66	0.92	0.78	0.75	0.68	0.76
KN805900.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805900.1:1:306741:1 REF	274041	0.80	0.26	0.76	0.59	0.43	0.65
KN805901.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805901.1:1:309832:1 REF	274218	0.60	0.18	0.14	0.52	0.38	0.64
KN805906.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805906.1:1:411272:1 REF	57041	0.83	1.00	0.20	0.89	0.96	0.26
KN805906.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805906.1:1:411272:1 REF	57079	0.92	1.00	1.00	0.94	0.96	0.89
KN805906.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805906.1:1:411272:1 REF	286635	0.90	0.82	0.73	0.76	0.93	0.84
KN805906.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805906.1:1:411272:1 REF	317626	1.00	0.98	1.00	1.00	1.00	0.17
KN805908.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805908.1:1:304466:1 REF	287930	0.62	1.00	1.00	0.57	1.00	0.59
KN805908.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805908.1:1:304466:1 REF	287936	0.99	0.96	1.00	0.67	1.00	0.64
KN805910.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805910.1:1:328514:1 REF	3444	0.69	0.81	1.00	0.88	0.91	0.95
KN805910.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805910.1:1:328514:1 REF	3449	0.65	0.77	0.76	0.93	0.89	0.91
KN805910.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805910.1:1:328514:1 REF	3451	0.74	0.81	0.66	0.90	0.93	0.89
KN805910.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805910.1:1:328514:1 REF	3483	0.72	0.61	0.88	0.80	0.63	0.81
KN805916.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805916.1:1:366340:1 REF	46885	0.86	0.62	0.73	0.67	0.92	0.72
KN805916.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805916.1:1:366340:1 REF	310286	0.37	0.50	0.65	0.65	0.44	0.48
KN805940.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805940.1:1:352594:1 REF	197889	0.27	0.18	0.32	0.18	0.30	0.13
KN805941.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805941.1:1:328121:1 REF	191603	1.00	1.00	1.00	1.00	1.00	0.98
KN805941.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805941.1:1:328121:1 REF	191623	1.00	1.00	1.00	1.00	1.00	0.98
KN805941.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805941.1:1:328121:1 REF	270510	0.86	0.83	0.15	0.60	0.53	0.63
KN805942.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805942.1:1:345068:1 REF	44868	0.84	0.46	0.95	0.96	0.99	0.93
KN805945.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805945.1:1:269400:1 REF	62236	0.80	0.48	0.74	0.84	0.96	0.92
KN805947.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805947.1:1:305151:1 REF	115082	0.97	0.86	0.92	0.82	0.92	0.85
KN805947.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805947.1:1:305151:1 REF	115129	0.76	0.78	0.77	0.85	0.58	0.55
KN805950.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805950.1:1:440274:1 REF	254153	0.83	0.81	0.94	0.95	0.69	0.87
KN805950.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805950.1:1:440274:1 REF	254177	1.00	0.76	0.94	0.90	0.74	0.86
KN805954.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805954.1:1:363638:1 REF	65895	0.56	0.85	0.48	0.50	0.12	0.22
KN805957.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805957.1:1:250079:1 REF	183943	0.96	1.00	0.98	0.52	0.86	0.98
KN805961.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805961.1:1:285055:1 REF	8823	0.98	0.88	0.78	1.00	0.64	0.95
KN805961.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805961.1:1:285055:1 REF	8831	0.99	0.81	0.68	0.91	0.81	0.85
KN805962.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805962.1:1:261266:1 REF	82678	0.91	1.00	0.90	0.89	1.00	0.92
KN805962.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805962.1:1:261266:1 REF	82684	0.95	0.60	0.90	0.95	0.82	0.92
KN805962.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805962.1:1:261266:1 REF	82705	0.86	1.00	0.90	0.95	0.91	0.92
KN805962.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805962.1:1:261266:1 REF	240930	0.89	0.73	0.75	0.76	0.85	0.92
KN805962.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805962.1:1:261266:1 REF	240937	0.91	0.93	0.89	0.90	0.84	0.87
KN805964.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805964.1:1:260577:1 REF	58434	0.42	0.40	0.40	0.64	0.35	0.89
KN805965.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805965.1:1:270673:1 REF	61524	0.83	0.61	1.00	0.77	0.71	0.89
KN805965.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805965.1:1:270673:1 REF	61554	0.77	0.88	0.77	0.37	0.72	0.12
KN805965.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805965.1:1:270673:1 REF	97867	0.35	0.57	1.00	0.82	0.67	0.75
KN805965.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805965.1:1:270673:1 REF	97886	0.78	0.79	1.00	0.93	0.59	0.75
KN805965.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805965.1:1:270673:1 REF	97899	0.29	0.93	1.00	0.89	0.59	0.58
KN805965.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805965.1:1:270673:1 REF	97906	0.76	0.93	1.00	0.96	0.62	0.67
KN805968.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805968.1:1:315831:1 REF	13274	0.88	0.25	1.00	0.38	0.71	0.84
KN805972.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805972.1:1:312985:1 REF	44319	0.10	0.11	0.53	0.76	0.65	0.62
KN805972.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805972.1:1:312985:1 REF	47377	0.10	0.11	0.53	0.69	0.65	0.62
KN805972.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805972.1:1:312985:1 REF	111412	0.13	0.11	0.53	0.85	0.65	0.61
KN805972.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805972.1:1:312985:1 REF	120351	1.00	1.00	1.00	0.19	1.00	1.00
KN805973.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805973.1:1:297154:1 REF	49890	0.23	0.70	0.33	0.65	0.88	0.50
KN805973.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805973.1:1:297154:1 REF	49903	0.58	0.61	0.57	0.80	0.75	0.93
KN805973.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805973.1:1:297154:1 REF	49935	0.65	0.94	0.75	0.82	0.68	0.84
KN805973.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805973.1:1:297154:1 REF	49942	0.78	0.87	0.88	0.82	0.56	0.94
KN805973.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805973.1:1:297154:1 REF	49948	0.83	0.79	0.62	0.97	0.74	0.96
KN805973.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805973.1:1:297154:1 REF	268529	0.17	0.30	0.47	0.21	0.47	0.57
KN805977.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805977.1:1:316253:1 REF	142182	0.48	0.54	0.72	0.62	0.67	0.52
KN805979.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805979.1:1:240234:1 REF	43678	0.92	1.00	0.21	1.00	0.72	0.90
KN805982.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805982.1:1:266386:1 REF	239140	0.94	0.81	1.00	0.57	0.96	1.00
KN805983.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805983.1:1:232549:1 REF	99901	0.94	0.38	1.00	0.95	0.38	0.89
KN805983.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805983.1:1:232549:1 REF	103938	0.89	0.81	1.00	0.71	0.80	0.78
KN805986.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805986.1:1:280863:1 REF	23366	0.93	0.90	0.95	0.97	0.88	1.00
KN805986.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805986.1:1:280863:1 REF	23374	0.91	0.84	0.91	0.90	0.92	1.00
KN805986.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805986.1:1:280863:1 REF	23383	0.80	0.84	0.97	0.79	0.84	0.84
KN805986.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805986.1:1:280863:1 REF	51038	0.50	0.85	1.00	0.69	0.93	0.72
